0,[ -7.93885  -5.41777 462.75   ],[ -1.     0.   462.75],[ -7.93885   5.41777 462.75   ],[-25.99    8.    205.667],[-25.99    8.    257.083],[-25.99   8.   308.5 ],[-25.99    8.    359.917],[-25.99    8.    411.333],[ -7.93885  -5.41777 154.25   ],[ -1.     0.   154.25],[ -7.93885   5.41777 154.25   ],[-25.99   -8.    205.667],[-25.99   -8.    257.083],[-25.99  -8.   308.5 ],[-25.99   -8.    359.917],[-25.99   -8.    411.333],[ -7.93885  -5.41777 411.333  ],[ -7.93885  -5.41777 359.917  ],[ -7.93885  -5.41777 308.5    ],[ -7.93885  -5.41777 257.083  ],[ -7.93885  -5.41777 205.667  ],[ -1.      0.    411.333],[ -1.      0.    359.917],[ -1.    0.  308.5],[ -1.      0.    257.083],[ -1.      0.    205.667],[ -7.93885   5.41777 411.333  ],[ -7.93885   5.41777 359.917  ],[ -7.93885   5.41777 308.5    ],[ -7.93885   5.41777 257.083  ],[ -7.93885   5.41777 205.667  ],[-68.9543   0.     462.75  ],[-67.4816    4.81704 462.75   ],[-67.4816    4.81704 601.     ],[-68.9543   0.     601.    ],[-67.4816    4.81704 508.833  ],[-67.4816    4.81704 554.917  ],[-68.9543   0.     515.753 ],[-67.4816   -4.81704 462.75   ],[-67.4816   -4.81704 601.     ],[-67.4816   -4.81704 515.573  ],[-25.99  -8.   462.75],[-95.3292   0.     601.    ],[-95.3292   0.     617.    ],[-67.4816   -4.81704 617.     ],[-25.99  -8.   617.  ],[-25.99   -8.    501.312],[-25.99   -8.    539.875],[-25.99   -8.    578.438],[-25.99   8.   462.75],[-25.99   8.   617.  ],[-67.4816    4.81704 617.     ],[-25.99    8.    501.312],[-25.99    8.    539.875],[-25.99    8.    578.438],[ -7.93888  -5.41778 617.     ],[-1.00000e+00  4.65673e-05  6.17000e+02],[ -7.93888   5.41778 617.     ],[ -7.93885   5.41777 501.312  ],[ -7.93885   5.41777 539.875  ],[ -7.93885   5.41777 578.438  ],[ -1.      0.    501.312],[ -1.      0.    539.875],[ -1.      0.    578.438],[ -7.93885  -5.41777 501.312  ],[ -7.93885  -5.41777 539.875  ],[ -7.93885  -5.41777 578.438  ],[-68.9543   0.     154.25  ],[-67.4816    4.81704 154.25   ],[-68.9543   0.     119.    ],[-67.4816    4.81704 119.     ],[-67.4816   -4.81704 154.25   ],[-67.4816   -4.81704 119.     ],[-95.3292   0.     119.    ],[-25.99  -8.   154.25],[-25.99  -8.     0.  ],[-67.4816   -4.81704   0.     ],[-95.3292   0.       0.    ],[-25.99    -8.      38.5625],[-25.99   -8.     77.125],[-25.99   -8.    115.688],[-95.3292   0.      59.5   ],[-67.4816   -4.81704  16.4696 ],[-67.4816   -4.81704  59.5    ],[-67.4816   -4.81704 103.188  ],[-52.329    -6.52612  22.6307 ],[-58.0209   -5.95845  65.4962 ],[-58.2008   -5.93905  90.0274 ],[-25.99   8.   154.25],[-67.4816    4.81704   0.     ],[-25.99   8.     0.  ],[-25.99     8.      38.5625],[-25.99    8.     77.125],[-25.99    8.    115.688],[-67.4816    4.81704 102.491  ],[-67.4816    4.81704  59.5    ],[-67.4816    4.81704  19.1801 ],[-7.93888 -5.41778  0.     ],[-1.00000e+00 -9.15574e-05  0.00000e+00],[-7.93886  5.41777  0.     ],[ -7.93885  -5.41777 115.688  ],[-7.93885 -5.41777 77.125  ],[-7.93885 -5.41777 38.5625 ],[ -1.      0.    115.688],[-1.     0.    77.125],[-1.      0.     38.5625],[ -7.93885   5.41777 115.688  ],[-7.93885  5.41777 77.125  ],[-7.93885  5.41777 38.5625 ],[-67.4816    4.81704 186.278  ],[-67.4816    4.81704 225.048  ],[-67.4816    4.81704 257.083  ],[-67.4816    4.81704 286.818  ],[-67.4816    4.81704 330.134  ],[-67.4816    4.81704 359.917  ],[-67.4816    4.81704 394.194  ],[-67.4816    4.81704 428.472  ],[-67.4816   -4.81704 186.278  ],[-67.4816   -4.81704 222.806  ],[-67.4816   -4.81704 257.083  ],[-67.4816   -4.81704 283.869  ],[-67.4816   -4.81704 328.56   ],[-67.4816   -4.81704 359.917  ],[-67.4816   -4.81704 393.152  ],[-67.4816   -4.81704 433.271  ],[-68.9543   0.     186.83  ],[-68.9543   0.     221.726 ],[-68.9543   0.     246.8   ],[-68.9543   0.     281.668 ],[-68.9543   0.     308.5   ],[-68.9543   0.     335.008 ],[-68.9543   0.     370.2   ],[-68.9543   0.     395.534 ],[-68.9543   0.     435.96  ],[-1.22096e+01  7.90192e-02  4.37294e+02],[-51.5687    -0.489148 137.63    ],[-17.596     -0.194101  17.9157  ],[-46.4323   -0.12303  15.2577 ],[-1.11728e+01 -4.50147e-02  5.98503e+02],[-46.2645    -0.461065 173.528   ],[-10.4697    -0.272068 179.85    ],[-49.7809    1.40298 445.19   ],[-1.22455e+01  6.79258e-02  2.37409e+02]
[ -7.93885  -5.41777 462.75   ],0.0,0.7548378002528349,0.7301162309247518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.874830247948685e-08,0.0,0.0,0.0,0.0,0.00035710206976786644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872462722345778,0.0,0.0,0.0,0.0,3.043538237720665,0.0,0.0,0.1292937454882484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6746908312334328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115902715596002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ -1.     0.   462.75],0.7548378002528349,0.0,2.4002281336201525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.549580539327067,0.0,0.0,0.0,0.0,2.9135344105388223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3929078178340704,0.0,0.0,2.9841227210120223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.377755703250949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ -7.93885   5.41777 462.75   ],0.7301162309247518,2.4002281336201525,0.0,0.0,0.0,0.0,0.0,6.994894552266975e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.757019463897594e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.915160158122784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230997970476473,0.0,0.0,5.42714033599639e-05,0.0,0.0,0.8886259791260899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-25.99    8.    205.667],0.0,0.0,0.0,0.0,2.161886299323335,0.0,0.0,0.0,0.0,0.0,0.0,6.3924036081084684e-09,0.118513644888864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.357900257110111,1.100996609097246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.325365694612284e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.323170739552209,5.233048872311117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.627373352495273e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.115533199279467e-09,0.0,0.0,4.0758353609926194e-08
[-25.99    8.    257.083],0.0,0.0,0.0,2.161886299323335,0.0,5.51323789763012,0.0,0.0,0.0,0.0,0.0,0.0,9.941257032630792e-09,0.21808754013743487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11367258966696744,1.3180234405966305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.233064725032704,1.1025055481698944e-08,4.42744495383982,0.0,0.0,0.0,0.0,0.0,0.0,2.0164597275880327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1362547111058424e-05,2.827482753283353e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-25.99   8.   308.5 ],0.0,0.0,0.0,0.0,5.51323789763012,0.0,5.828770621732372,0.0,0.0,0.0,0.0,0.0,0.0,1.6106584454949916e-08,0.018889368014603197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.577058495938147e-05,0.11346084920454662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.427444605652088,3.515139466141644,0.0,0.0,0.0,0.0,0.0,0.0,4.3391096898149286e-05,4.037013062629113e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.071623629613336e-06,1.2256090449234694e-06,5.360407060624131e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-25.99    8.    359.917],0.0,0.0,0.0,0.0,0.0,5.828770621732372,0.0,1.5415911583892448,0.0,0.0,0.0,0.0,0.0,0.0,0.018726058203896525,0.740402946080396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.913594766131182,2.8167175011243935e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5151377568818454,3.579266716577118e-08,2.4884030947589265e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.513861411092314e-05,6.408512591761816e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.348425117913079e-05,1.9382620697177593e-06,5.265745679807117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-25.99    8.    411.333],0.0,0.0,6.994894552266975e-08,0.0,0.0,0.0,1.5415911583892448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4996503265597787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9877136339955046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381889270639291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4570735691299401e-07,5.8166660928291496e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497961766638268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ -7.93885  -5.41777 154.25   ],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5985315123074351,0.0,0.15364196835874067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.732296018695545e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4146113629953404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010055738214754474,0.0,0.0,9.665674639409916e-07,0.0,0.0,0.2749972152851482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.492684847250391e-09,1.500360560469469e-08,0.0,0.0
[ -1.     0.   154.25],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5985315123074351,0.0,1.0253903147869522e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4985787591929046,0.0,0.0,0.0,0.0,66.81734845852412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.13950588957746,0.0,0.0,6.755295488333735e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7957394660239776e-08,0.0,0.0
